nifty
juniorNifty
niftyMidcap50
cnxAuto
bankNifty
cnxEnergy
cnxFinance
cnxFMCG
cnxit
cnxMedia
cnxMetal
cnxPharma
cnxPSU
cnxRealty
niftyPvtBank
cnxCommodities
cnxConsumption
cpse
cnxInfra
cnxMNC
ni15
cnxPSE
cnxService
nseliquid
niftyMidcapLiq15
cnxDividendOppt
nv20
niftyQuality30
nifty50EqualWeight
nifty100EqualWeight
nifty100LowVol30
niftyAlpha50
sovGold
foSec
etf
goldEtf
nifty50Etf
iL
bL
cbmSecList
